Study_Hours,Sleep_Hours,Screen_Time,Stress_Level,Physical_Activity,Assignment_Load,Attendance,CGPA,Age,Gender,Burnout
10,8,10,Low,High,Low,73,8.07,18,Male,Low
9,6,10,Medium,Low,Medium,53,6.12,21,Male,High
2,9,1,Medium,High,Low,53,7.73,23,Male,Low
8,6,2,Medium,Medium,Medium,67,8.42,21,Male,Moderate
8,7,9,Low,High,Low,76,5.95,18,Male,Low
7,3,8,Medium,Medium,Medium,92,7.6,20,Male,Moderate
8,7,3,Low,High,Low,81,7.35,24,Female,Low
3,5,8,Low,Low,Medium,82,5.36,24,Female,Moderate
6,4,1,High,High,High,77,9.09,24,Female,Moderate
1,5,10,Medium,Medium,Medium,91,6.68,25,Male,Moderate
7,9,4,Low,Medium,Low,90,7.87,20,Male,Low
1,8,3,Medium,High,High,85,7.57,25,Male,Low
9,6,6,Medium,Medium,Medium,55,7.57,19,Female,Moderate
1,7,7,High,Medium,High,65,5.54,24,Male,Moderate
1,7,4,Medium,Low,Medium,83,7.12,21,Female,Low
7,9,7,High,High,High,72,7.26,20,Male,Moderate
2,7,9,Low,High,Low,99,8.67,20,Male,Low
5,9,2,Medium,High,Medium,91,9.2,24,Male,Low
8,5,3,Low,Medium,Medium,73,7.72,21,Female,Low
8,6,5,Medium,High,Low,98,5.43,22,Male,Low
3,4,3,Low,High,High,62,6.18,20,Female,Moderate
7,8,8,Medium,Low,Low,67,5.82,24,Male,Moderate
3,4,10,Medium,Low,Low,62,5.62,23,Male,High
6,5,8,Medium,Low,High,98,6.83,18,Female,Moderate
6,8,8,Medium,Medium,Low,86,6.15,25,Male,Low
3,7,9,Medium,High,Medium,92,6.09,19,Male,Low
7,3,4,Medium,Low,Medium,88,5.27,20,Male,Moderate
3,5,5,Medium,Low,Medium,91,5.09,23,Male,Moderate
8,5,5,Medium,Low,Low,66,5.51,23,Female,Moderate
10,6,8,Medium,High,Medium,64,5.86,20,Female,Moderate
4,4,7,Low,High,Medium,67,7.15,22,Male,Moderate
1,5,9,High,High,Medium,72,7.55,18,Male,Moderate
4,5,8,Medium,Medium,Medium,100,5.7,19,Female,Moderate
7,7,2,High,Medium,Medium,79,7.12,20,Male,Moderate
4,7,10,Medium,Low,Medium,83,6.71,25,Female,Moderate
6,8,4,Medium,High,Low,53,5.92,19,Male,Low
9,9,6,Low,Low,Medium,52,5.03,21,Female,Moderate
1,9,2,Low,High,Medium,56,7.34,23,Female,Low
5,3,7,High,High,High,67,8.43,23,Female,Moderate
7,9,3,Low,High,Low,91,6.13,20,Female,Low
1,6,3,Low,Medium,Low,56,5.66,20,Male,Low
4,3,2,High,Medium,Low,89,9.44,25,Male,Moderate
6,8,8,Low,High,Low,55,6.38,21,Female,Low
2,7,6,Medium,Low,Medium,71,6.12,22,Female,Low
10,9,1,High,High,Medium,50,9.29,20,Female,Moderate
5,4,1,High,High,High,53,9.09,23,Female,Moderate
10,7,7,Medium,Low,High,95,7.24,19,Male,Moderate
1,6,8,Low,High,Low,98,7.45,18,Female,Low
6,7,5,High,Low,High,99,6.09,24,Female,Moderate
6,6,5,High,Medium,High,92,5.39,19,Female,Moderate
4,6,4,Medium,Medium,Low,78,7.87,22,Female,Low
8,6,6,Medium,Low,Low,70,5.49,18,Female,Moderate
4,8,6,Low,Medium,High,75,7.25,19,Female,Low
8,6,3,High,Medium,Medium,63,9.7,19,Female,Moderate
8,6,9,Low,Low,High,58,9.76,21,Male,High
5,4,7,Low,Medium,High,96,6.2,24,Female,Moderate
4,3,1,Medium,High,Medium,61,8.12,25,Female,Moderate
2,5,7,High,High,Medium,91,7.37,22,Female,Moderate
3,3,5,High,Low,Low,100,9.38,23,Male,Moderate
3,6,5,High,Medium,Low,100,6.36,21,Male,Low
4,4,2,Medium,High,High,55,5.02,18,Male,Moderate
4,7,4,Medium,High,Medium,69,5.81,24,Female,Low
10,4,6,Medium,Medium,Low,73,6.75,23,Female,Moderate
5,6,10,Medium,Medium,High,76,6.58,21,Female,Moderate
4,4,7,Medium,High,Medium,87,8.96,24,Male,Moderate
10,9,5,High,High,High,57,8.4,25,Female,Moderate
8,4,9,Low,Low,Low,50,6.5,22,Male,Moderate
6,6,3,High,Low,Low,98,7.29,20,Male,Moderate
6,8,1,Low,High,Medium,98,5.48,25,Male,Low
8,9,4,Medium,Low,High,73,9.49,20,Male,Moderate
7,4,9,Low,High,Medium,96,9.68,18,Male,Moderate
10,5,4,High,High,Low,56,9.9,20,Female,Moderate
10,5,2,High,Low,Low,68,9.34,21,Female,Moderate
8,4,10,Low,Low,High,71,5.87,18,Male,High
2,8,5,Medium,Medium,High,84,5.23,23,Female,Moderate
9,7,3,Medium,Medium,High,79,7.9,25,Female,Moderate
